itemId,category,name,rating,originalRating,reviewTitle,reviewContent,likeCount,upVotes,downVotes,helpful,relevanceScore,boughtDate,clientType,retrievedDate
100002528.0,beli-harddisk-eksternal,Lazada Customer,5.0,,ok mantaaapppp barang sesuai pesanan.. good,okkkkk mantaaaaaaapppp ... goood,0.0,0.0,0.0,True,21.5,4-Apr-18,androidApp,10/2/2019
100003785.0,beli-harddisk-eksternal,agung p.,5.0,,Barang bagus sesuai specs,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",0.0,0.0,0.0,True,19.5,1-Mar-17,mobile,10/2/2019
100004505.0,beli-harddisk-eksternal,Andry M.,1.0,,Pesanan tidak tepat waktu,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,1.0,1.0,0.0,True,31.51,18 Mei 2018,mobile,10/2/2019
100004505.0,beli-harddisk-eksternal,Leonard,4.0,,TV ok,Kualitas ok,1.0,1.0,0.0,True,22.88,2-Jun-17,desktop,10/2/2019
100004505.0,beli-harddisk-eksternal,Fadoli,5.0,,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",ok barang sampai dengan Baik.. smoga terus di pertahankan...,0.0,0.0,0.0,True,21.51,18-Apr-18,desktop,10/2/2019
100007498.0,beli-harddisk-eksternal,Amarullah,5.0,,Good job,"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",0.0,0.0,0.0,True,26.98,11-Nov-16,mobile,10/2/2019
100010722.0,beli-harddisk-eksternal,Dwi,5.0,,TOP,"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",1.0,1.0,0.0,True,30.51,13-Nov-17,androidApp,10/2/2019
100010722.0,beli-harddisk-eksternal,Wan D.,1.0,,Cape deh!,Sudah cape2 transfer tapi pesanan ditolak,0.0,0.0,0.0,True,20.51,17-Jan-18,androidApp,10/2/2019
100010745.0,beli-harddisk-eksternal,Anggun W.,5.0,,Lima Bintang,"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",3.0,3.0,0.0,True,30.75,25-Nov-16,mobile-app,10/2/2019
100027329.0,beli-harddisk-eksternal,Yoga T.,5.0,,Sesuai Dengan yang tertera,"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",2.0,2.0,0.0,True,23.3,02 Mei 2017,desktop,10/2/2019
100027329.0,beli-harddisk-eksternal,Heri K.,5.0,,mantap,barang sesuai dengan gambar,0.0,0.0,0.0,True,20.21,20-Jun-17,desktop,10/2/2019
100027616.0,beli-harddisk-eksternal,ACHMAD F.,5.0,,TOP,"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",0.0,0.0,0.0,True,20.51,24 Okt 2017,androidApp,10/2/2019
100027616.0,beli-harddisk-eksternal,Bilqis,5.0,,Sip,Oke,0.0,0.0,0.0,True,12.6,14-Jun-17,mobile,10/2/2019
100028438.0,beli-harddisk-eksternal,Dimas D.,5.0,,Kepuasan & Ketidakpuasan,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",0.0,0.0,0.0,True,27.0,25-Feb-17,mobile-app,10/2/2019
100028438.0,beli-harddisk-eksternal,Pembeli,4.0,,Bagus,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,0.0,0.0,0.0,True,20.51,19 Des 2017,iosApp,10/2/2019
100034104.0,beli-harddisk-eksternal,Lazada Customer,5.0,,GOOD,barang bagus quick respon hari ini pesan besok sudah sampai,0.0,0.0,0.0,True,23.03,3-Jul-18,desktop,10/2/2019
100036366.0,beli-harddisk-eksternal,hadiyanto,1.0,,"barang pecah dikirim, payah ni seller","barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",27.0,27.0,0.0,True,33.55,27-Mar-18,desktop,10/2/2019
100036366.0,beli-harddisk-eksternal,Fajar H.,4.0,,Brng Utuh diterima,"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit.  Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",4.0,4.0,0.0,True,33.39,27-Mar-18,androidApp,10/2/2019
100036366.0,beli-harddisk-eksternal,aryanto,4.0,,sesuai pesanan,masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,0.0,0.0,0.0,True,29.99,15-Jul-18,androidApp,10/2/2019
100036366.0,beli-harddisk-eksternal,Edi S.,2.0,,Pengiriman,Pengiriman tidak sesuai tanggal yang tertera,18.0,18.0,1.0,True,24.38,1-Apr-17,desktop,10/2/2019
100036366.0,beli-harddisk-eksternal,Pohin,5.0,,tv murah,"pengiriman cepat packirng rapih harga murah, free ongkir",0.0,0.0,0.0,True,22.49,15-Jul-18,androidApp,10/2/2019
100036366.0,beli-harddisk-eksternal,ming F.,5.0,,mantapp,mantapp barang nya sesuai pesanan,0.0,0.0,0.0,True,22.49,9-Jul-18,androidApp,10/2/2019
100036366.0,beli-harddisk-eksternal,Muhammad A.,1.0,,"pengiriman lama pisan,  katanya dr kurir, pengirimannya ga pake exspres",hati hati ini tv ga bisa pake USB,0.0,0.0,0.0,True,21.51,19-Mar-18,androidApp,10/2/2019
100038665.0,beli-harddisk-eksternal,Fitriyansyah,5.0,,Pelayanan,"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",0.0,0.0,0.0,True,27.0,20 Des 2016,mobile-app,10/2/2019
100038665.0,beli-harddisk-eksternal,Sahrul A.,3.0,,"Kurang puas..,","Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",0.0,0.0,0.0,True,27.0,22-Nov-16,mobile-app,10/2/2019
100042741.0,beli-harddisk-eksternal,Rayndra A.,1.0,,FLASHDISK BEKAS WKWKWK  :D,"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",0.0,0.0,0.0,True,27.66,4-Jul-17,desktop,10/2/2019
100042741.0,beli-harddisk-eksternal,Satya P.,2.0,,Sering corrupt,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",0.0,0.0,0.0,True,19.97,16 Mei 2017,desktop,10/2/2019
100042741.0,beli-harddisk-eksternal,DHEA P.,5.0,,VERY NICE,VERY GOOD,0.0,0.0,0.0,True,12.37,15-Apr-17,mobile,10/2/2019
100052565.0,beli-harddisk-eksternal,Pieter C.,5.0,,TOP BGT,"hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",0.0,0.0,0.0,True,28.01,30 Okt 2017,androidApp,10/2/2019
100052565.0,beli-harddisk-eksternal,zara,4.0,,Barang sudah mendarat dengan selamat,"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",0.0,0.0,0.0,True,28.01,02 Okt 2017,mobile-app,10/2/2019
100052565.0,beli-harddisk-eksternal,Maesaroh,5.0,,Bagus,"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",0.0,0.0,0.0,True,27.0,9-Mar-17,desktop,10/2/2019
